date,month,week,timeSlot,holiday,rrr,aveSpeed,Cluster
30,11,3,72,0,0,66.59,3
30,11,3,73,0,0,64.465,3
30,11,3,74,0,0,62.34,3
30,11,3,75,0,0,58.19,3
30,11,3,76,0,0,51.09,3
30,11,3,77,0,0,59.03,3
30,11,3,78,0,0,50.23,3
30,11,3,79,0,0,58.76,3
30,11,3,80,0,0,51.78,3
30,11,3,81,0,0,58.83,3
30,11,3,82,0,0,63.76,3
30,11,3,83,0,0,52.14,3
30,11,3,84,0,0,52.2,3
30,11,3,85,0,0,47.03,3
30,11,3,86,0,0,47.87,3
30,11,3,87,0,0,46.86,3
30,11,3,88,0,0,47.57,3
30,11,3,89,0,0,46.98,3
30,11,3,90,0,0,43.65,3
30,11,3,91,0,0,43.13,3
30,11,3,92,0,0,48.38,3
30,11,3,93,0,0,45.39,3
30,11,3,94,0,0,47.63,3
30,11,3,95,0,0,47.58,3
30,11,3,96,0,0,49.75,3
30,11,3,97,0,0,47.35,3
30,11,3,98,0,0,39.26,3
30,11,3,99,0,0,30.44,3
30,11,3,100,0,0,29.02,3
30,11,3,101,0,0,13.58,3
30,11,3,102,0,0,19,3
30,11,3,103,0,0,13.38,3
30,11,3,104,0,0,8.98,3
30,11,3,105,0,0,12.96,3
30,11,3,106,0,0,7.79,3
30,11,3,107,0,0,11.85,3
30,11,3,108,0,0,3.65,3
30,11,3,109,0,0,5.76,3
30,11,3,110,0,0,5.45,3
30,11,3,111,0,0,9.54,3
30,11,3,112,0,0,6.26,3
30,11,3,113,0,0,5.13,3
30,11,3,114,0,0,6.97,3
30,11,3,115,0,0,17.12,3
30,11,3,116,0,0,23.16,3
30,11,3,117,0,0,40.88,3
30,11,3,118,0,0,31.26,3
30,11,3,119,0,0,28.74,3
30,11,3,120,0,0,25.27,3
30,11,3,121,0,0,40.55,3
30,11,3,122,0,0,39.13,3
30,11,3,123,0,0,44.98,3
30,11,3,124,0,0,47.77,3
30,11,3,125,0,0,42.67,3
30,11,3,126,0,0,36.72,3
30,11,3,127,0,0,32.78,3
30,11,3,128,0,0,37.68,3
30,11,3,129,0,0,39.01,3
30,11,3,130,0,0,30.62,3
30,11,3,131,0,0,9.64,3
30,11,3,132,0,0,20.48,3
30,11,3,133,0,0,16.98,3
30,11,3,134,0,0,12.84,3
30,11,3,135,0,0,23.67,3
30,11,3,136,0,0,25.17,3
30,11,3,137,0,0,24.87,3
30,11,3,138,0,0,31.61,3
30,11,3,139,0,0,37.14,3
30,11,3,140,0,0,44.29,3
30,11,3,141,0,0,47.51,3
30,11,3,142,0,0,42.79,3
30,11,3,143,0,0,39.01,3
30,11,3,144,0,0,45.52,3
30,11,3,145,0,0,45.8,3
30,11,3,146,0,0,47.14,3
30,11,3,147,0,0,51.15,3
30,11,3,148,0,0,53.82,3
30,11,3,149,0,0,45.25,3
30,11,3,150,0,0,43.79,3
30,11,3,151,0,0,47.02,3
30,11,3,152,0,0,49.26,3
30,11,3,153,0,0,46.02,3
30,11,3,154,0,0,43.59,3
30,11,3,155,0,0,46.93,3
30,11,3,156,0,0,51.53,3
30,11,3,157,0,0,39.45,3
30,11,3,158,0,0,46.74,3
30,11,3,159,0,0,45.58,3
30,11,3,160,0,0,45.66,3
30,11,3,161,0,0,43.32,3
30,11,3,162,0,0,39.16,3
30,11,3,163,0,0,46.69,3
30,11,3,164,0,0,41.37,3
30,11,3,165,0,0,32.42,3
30,11,3,166,0,0,40.72,3
30,11,3,167,0,0,38.51,3
30,11,3,168,0,0,33.32,3
30,11,3,169,0,0,19.1,3
30,11,3,170,0,0,15.14,3
30,11,3,171,0,0,12.41,3
30,11,3,172,0,0,34.22,3
30,11,3,173,0,0,41.6,3
30,11,3,174,0,0,45.13,3
30,11,3,175,0,0,42.66,3
30,11,3,176,0,0,34.65,3
30,11,3,177,0,0,34.81,3
30,11,3,178,0,0,34.88,3
30,11,3,179,0,0,49.39,3
30,11,3,180,0,0,43.91,3
30,11,3,181,0,0,45.42,3
30,11,3,182,0,0,47.95,3
30,11,3,183,0,0,41.35,3
30,11,3,184,0,0,46.45,3
30,11,3,185,0,0,48.86,3
30,11,3,186,0,0,38.22,3
30,11,3,187,0,0,47.1,3
30,11,3,188,0,0,43.99,3
30,11,3,189,0,0,43.47,3
30,11,3,190,0,0,44.79,3
30,11,3,191,0,0,47.31,3
30,11,3,192,0,0,43.7,3
30,11,3,193,0,0,48.98,3
30,11,3,194,0,0,47.04,3
30,11,3,195,0,0,48.86,3
30,11,3,196,0,0,45.26,3
30,11,3,197,0,0,49.54,3
30,11,3,198,0,0,43.43,3
30,11,3,199,0,0,54.23,3
30,11,3,200,0,0,44.07,3
30,11,3,201,0,0,36.31,3
30,11,3,202,0,0,45.71,3
30,11,3,203,0,0,48.37,3
30,11,3,204,0,0,50.83,3
30,11,3,205,0,0,44.89,3
30,11,3,206,0,0,46.85,3
